product_name,ingredients_text,countries_en,is_english,MRIO_CPC_description,lca_food_group,lca_similarity,co2_kg_per_kg,land_use_m2_per_kg
Luxury Christmas Pudding,"Demerara Sugar, Sultanas (14%), Raisins (9.4%), Bread Rusk [Fortified Wheat Flour (_Wheat Flour_, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)], Salt, Yeast), Cider, Currants (7.7%), Sherry (4.9%), Palm Oil, Cognac (4.1%), Glacé Cherries (4.1%) [Cherries, Glucose-Fructose Syrup, Colour (Anthocyanins), Acidity Regulator (Citric Acid)], Single Cream (from _Milk_), _Walnuts_ (2.6%), _Almonds_ (_Nut_) (2.3%), Fortified Wheat Flour (_Wheat Flour_, Calcium Carbonate, Iron, Niacin (B3), Thramin (B1)]. Brandy (1.5%), Rum (1.5%), Treacle, Candied Citrus Peel [Glucose Syrup, Orange Peel, Sugar, Lemon Peel, Acidity Regulator (Citric Acid)], _Barley_ Malt Extract, Mixed Spice [Coriander, Cinnamon, Cloves, Fennel, Ginger, Nutmeg, Cardamom], Salt, Lemon Oil, Orange Oil",United Kingdom,True,Manufacture of beverages,Shepherd's pie,0.4614075,7.737124814285714,11.04638827142857
Luxury Christmas Pudding,"Demerara Sugar, Sultanas (14%), Raisins (9.4%), Bread Rusk [Fortified Wheat Flour (_Wheat Flour_, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)], Salt, Yeast), Cider, Currants (7.7%), Sherry (4.9%), Palm Oil, Cognac (4.1%), Glacé Cherries (4.1%) [Cherries, Glucose-Fructose Syrup, Colour (Anthocyanins), Acidity Regulator (Citric Acid)], Single Cream (from _Milk_), _Walnuts_ (2.6%), _Almonds_ (_Nut_) (2.3%), Fortified Wheat Flour (_Wheat Flour_, Calcium Carbonate, Iron, Niacin (B3), Thramin (B1)]. Brandy (1.5%), Rum (1.5%), Treacle, Candied Citrus Peel [Glucose Syrup, Orange Peel, Sugar, Lemon Peel, Acidity Regulator (Citric Acid)], _Barley Malt Extract_, Mixed Spice [Coriander, Cinnamon, Cloves, Fennel, Ginger, Nutmeg, Cardamom], Salt, Lemon Oil, Orange Oil",United Kingdom,True,Manufacture of beverages,Shepherd's pie,0.4614075,7.737124814285714,11.04638827142857
M&m's peanut butter,,France,True,Processing of Food products nec,Peanut butter,0.68596387,3.434960202255639,8.694059591729324
Naturally Flavored Beverage Enhancer With Other Natural Flavors,"Apple juice from concentrate (43%), water, black carrot juice extract and grape skin extract (colors), citric acid, blackcurrant juice from concentrate (5%), sodium citrate, contains 2% or less of: sucralose, natural flavor, potassium sorbate and sodium m",United States,True,Manufacture of beverages,Fruit smoothies,0.4451049,1.6489147438016527,1.2942647049586775
Blle Pet 50CL Coca Cola Cherry,eau azéifiée ; sucre : colorant : acidifiant : E338 ; arômes naturels (dont extraits végétau et caféine). A consommer de préférence avant le : voir,France,True,Manufacture of beverages,Blue cheese,0.43552622,20.10575330625,23.8921457
Marmite Original Pate A Tartiner 125G,"40 Ivlarmite original - extrait de levu\e ,édientg: Extrait de levure, acl. extrait de végétaux,niacine flamine (vitamine BI). d'épices (céleri). riboflavine acide folique (Vitamino B9), vitamino B12. tonditions de congervation d'utiligatlon: A consommer de préférence AVRIL 2018 N' LOT L6281A17S5 A conget-vor dang un t*ndroit frais et aec, Déclaration nutritionnelle (pour 100ml) : Valeur éneraétlque,: 110010-250kc! Xipldeg: 0,1g dont acides qrag gaturég: tracec IGlucideg. 24q dont 395 Fibreg. sel: 9,8g/thiamine: : 0 28mg (500% RDA')/ Niacine: ue: (1250% Vitamine B12: O.015mg = Apporte journaliers recommandé'. 000 04370",France,True,Manufacture of beverages,Marmalade,0.37472817,1.5489212745945946,1.73009918
Horseradish cream,"water, horseradish, mustard seed, sugar, vegetable oil, salt, food acid, whey protein, butter, modified corn starch, xanthan gum, sodium metabisulphite, color (paprika oleoresin)",Australia,True,Processing of dairy products,Ice cream,0.47327048,3.661809453757829,5.287275175574113
Chamomile Herbal Tea,Chamomile flowers.,United States,True,Manufacture of beverages,Tea,0.6288563,17.621043520156775,23.65968258174692
"Herbal Tea, Peppermint",Peppermint.,United States,True,Manufacture of beverages,Tea,0.6428226,17.621043520156775,23.65968258174692
Apple & Cinnamon Tea,"Tea, cinnamon & natural apple flavor.",United States,True,Manufacture of beverages,Tea,0.63389623,17.621043520156775,23.65968258174692
Shave Grass Herbal Tea,Shave grass.,United States,True,Manufacture of beverages,Tea,0.5273214,17.621043520156775,23.65968258174692
"Herbal Tea, Chamomile * Mint",Chamomile spearmint.,United States,True,Manufacture of beverages,Tea,0.58906883,17.621043520156775,23.65968258174692
"Kidneytea, Herbal Tea",Shave grass corn silk uva ursi juliana astringen boldo hibiscus flowers orange blossom.,United States,True,Manufacture of beverages,Tea,0.56384945,17.621043520156775,23.65968258174692
Bronchtea,Eucalyptus licorice ginger elder mullein cinnamon orange blossom.,United States,True,Manufacture of beverages,Broccoli,0.46262613,0.8974015212121212,1.003502265151515
Original Buttery Spread,"Canola oil, water, palm oil, palm kernel oil, salt, whey powder (milk), vegetable mono and diglycerides soybean lecithin, potassium sorbate (preservative), citric acid, artifical flavor, vitamin e (dl-alpha-tocopherol acetate), vitamin a palmitate, beta carotene & vitamin d3.",United States,True,"""Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)""",Chocolate spread,0.5828459,5.372300393750001,9.384214210714283
"Buttery Spread, With Flaxseed Oil","Canola oil, water, palm oil, flax oil, palm kernel oil, whey powder (milk), salt, vegetable mono and diglycerides, soybean lecithin, potassium sorbate (preservative), citric acid, artificial flavor, vitamin e (dl-alpha-tocopherol acetate), calcium disodium edta (to preserve freshness), vitamin a palmitate, beta-carotene, vitamin d3.",United States,True,Cultivation of oil seeds,Almond butter,0.56850106,0.3870113076923077,7.683045153846154
Lithuanian Rye Bread,"Rye flour, water, wheat, flour, malt, molasses, sugar, onion, yeast, caraway seeds, salt.",United States,True,Cultivation of cereal grains nec,Bread,0.6539366,0.8787608464606183,2.2412011
Spring Onions,Spring Onions,United Kingdom,True,Cultivation of crops nec,Onions,0.7930348,0.3628603477707006,0.3953572643312102
Magic Stars Chocolates,"Sugar, cocoa butter, skimmed milk powder, cocoa mass, whey powder (from milk), lactose, milk fat, emulsifier (soya lecithin), natural vanilla extract. milk chocolate contains milk solids 14% minimum and cocoa solids 25% minimum.",United States,True,Processing of Food products nec,Chocolate cereals,0.618651,2.8776255585585586,7.379762667567568
Magic Stars Chocolates,"Sugar, cocoa butter, skimmed milk powder, cocoa mass, whey powder (from milk), lactose, milk fat, emulsifier (soya lecithin), natural vanilla extract.",United States,True,Processing of Food products nec,Chocolate cereals,0.618651,2.8776255585585586,7.379762667567568
"Mini Gingerbread Men, Milk Chocolate","Flour (wheat flour, calcium, iron, niacin, thiamin), milk chocolate (27%) [sugar, cocoa butter, dried skimmed milk, cocoa mass, dried whey (milk), butter oil (milk), emulsifier (soya lecithin), natural flavouring], sugar, vegetable oil (palm), partially i",United States,True,Manufacture of beverages,Milk chocolate,0.6067955,10.800274824937029,17.273873918891688
Organic Flourless Sprouted 7-Grain Bread,"Organic sprouted wheat, filtered water, organic malted barley, organic malted barley, organic sprouted rye, organic sprouted barley, organic sprouted oats, organic sprouted millet, organic sprouted corn, organic sprouted brown rice, yeast, organic wheat gluten, sea salt.",United States,True,Cultivation of cereal grains nec,Bread,0.59477323,0.8787608464606183,2.2412011
Black Tea,100% tea & passion,United States,True,Manufacture of beverages,Tea,0.82240385,17.621043520156775,23.65968258174692
Monterey Jack,"Pasteurized milk, cheese cultures, salt and enzymes.",United States,True,Manufacture of fish products,Mackerel,0.38014054,13.606384471999998,5.801549458
"Warner Hudson, Whisky Chocolates","Glucose fructose syrup, sugar, cocoa mass, cocoa butter, teacher's blended scotch whisky (10%), alcohol, milk sugar, whole milk powder, emulsifier: lecithins.",United States,True,Manufacture of beverages,Dark chocolate,0.43349904,20.62003664137931,48.78823265344828
"Piasten, Chocolate Assortment","Sugar, wheat starch, glucose syrup, whole soya flour, milk sugar, vegetable fat, cocoa butter, cocoa mass, whole milk powder, caramel sugar syrup, dextrose, peanuts, hazelnuts, glucose fructose syrup, vegetable oil, emulsifier: lecithins, humectant: inver",United States,True,Manufacture of beverages,Chocolate cereals,0.57435244,2.8776255585585586,7.379762667567568
Flat Leaf Parsley,Flat leaf parsley,United Kingdom,True,Cultivation of crops nec,Vegetable lasagne,0.4158015,3.3761406499999995,4.149298441666667
"Big Papa's, Southern Sauce","Catsup, vinegar, brown sugar, apricots, enzymes pepper, sugar, garlic salt, pepper and liquid smoke, worcestershire sauce and secret spices.",United States,True,Manufacture of beverages,Vegetable lasagne,0.4609026,3.3761406499999995,4.149298441666667
Milk Chocolate With Caramelized Almonds,"Sugar, cocoa butter, cocoa mass, whole milk powder, almonds (7.7%), lactose, skim milk powder, butterfat, emulsifier: lecithin (soy), natural flavor.",United States,True,Manufacture of beverages,Almond milk,0.77562475,0.6558875395161291,1.3701058564516129
"Funsch, High Quality Marzipan","Sugar, almonds, water, sorbitol, invert sugar, food coloring, turmeric, carmine, fd&c blue @1: egg white",United States,True,Processing of Food products nec,Marmalade,0.46128497,1.5489212745945946,1.73009918
The Best Peanut Butter Cookies,"Only the best: un-bleached flour, 100% organic peanut butter, peanuts, creamery butter, un-refined sugar, whole egg.",United States,True,Processing of Food products nec,Peanut butter,0.7126258,3.434960202255639,8.694059591729324
"Ice Cream, Vanilla","Milk, cream, sugar, corn syrup, guar gum, locust bean gum, natural vanilla flavor, vanilla beans, lactase enzyme*.",United States,True,Manufacture of beverages,Ice cream,0.8040331,3.661809453757829,5.287275175574113
"Ice Cream, Butter Pecan","Milk, cream, sugar, corn syrup, pecans (pecans, cottonseed oil, salt), natural flavor, guar gum, locust bean gum, lactase enzyme*",United States,True,Processing of dairy products,Ice cream,0.6781315,3.661809453757829,5.287275175574113
"Williams, Liquor Chocolate With Williams Pear","Sugar, cocoa butter, whole milk powder, williams pear brandy (8%), cocoa mass, lactose, invert sugar, skimmed milk powder, thickener (gum arabic), emulsifier (soy lecithin), barley malt extract, flavoring vanillin.",United States,True,Manufacture of beverages,Dark chocolate,0.55301654,20.62003664137931,48.78823265344828
Sea Salt Potato Chips,"Unpeeled potatoes, sunflower oil, sea salt.",United States,True,Processing of Food products nec,Frozen chips (french fries),0.6203492,0.7534718473684211,2.105976590789474
Solid Milk Chocolate,"Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin - an emulafier, vanllan - an artificial flavor)",United States,True,Processing of dairy products,Milk chocolate,0.8520641,10.800274824937029,17.273873918891688
"Madelaine Chocolate Company, Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin -an emulsifier, vanillin - an artificial flavor).",United States,True,Processing of Food products nec,Milk chocolate,0.5912639,10.800274824937029,17.273873918891688
Milk Chocolate Rose,"Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin (an emulsifier), vanillin - an artificial flavor).",United States,True,Manufacture of beverages,Milk chocolate,0.7738133,10.800274824937029,17.273873918891688
Solid Dark Chocolate,"Semi-sweet chocolate: (sugar, chocolate liquor processed with alkali, cocoa butter, milk fat, soy lecithin, vanillin-an artificial flavor, natural flavors).",United States,True,Processing of Food products nec,Dark chocolate,0.8852606,20.62003664137931,48.78823265344828
White Chocolate,"White chocolate: (sugar, cocoa butter, milk, vanillin an artificial flavor).",United States,True,Manufacture of beverages,Dark chocolate,0.8091109,20.62003664137931,48.78823265344828
"The Madelaine Chocolate Company, Solid Milk Chocolate Cigars","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin-an emulsifier, vanillin-an artificial flavor).",United States,True,Manufacture of beverages,Milk chocolate,0.6062428,10.800274824937029,17.273873918891688
"Madelaine Chocolate, It's A Girl! Solid Milk Chocolate Cigars, Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin - an emulsifier, vanillin-an artificial flavor).",United States,True,Processing of dairy products,Milk chocolate,0.7072367,10.800274824937029,17.273873918891688
"The Madelaine Chocolate Company, All Natural Dark Chocolate Gift Stick","Bittersweet chocolate (chocolate, sugar, cocoa butter, soy lecithin-an emulsifier, vanilla).",United States,True,Processing of Food products nec,Dark chocolate,0.6475818,20.62003664137931,48.78823265344828
"The Madelaine Chocolate Company, Solid Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin-an emulsifier, vanillian-an artificial flavor).",United States,True,Processing of dairy products,Milk chocolate,0.67272556,10.800274824937029,17.273873918891688
"The Madelaine Chocolate Company, Solid Dark Chocolate","Semi-sweet chocolate: (sugar, chocolate processed with alkali, cocoa butter, milk fat, soy lecithin-an emulsifier, vanillian-an artificial flavor, natural flavors).",United States,True,Processing of Food products nec,Dark chocolate,0.6592794,20.62003664137931,48.78823265344828
Solid Milk Chocolate,"Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin-an emulsifier, vanillian-an artificial flavor).",United States,True,Processing of dairy products,Milk chocolate,0.8520641,10.800274824937029,17.273873918891688
"The Madelaine Chocolate Company, Solid Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin- an emulsifier, vanillian-an artificial flavor).",United States,True,Processing of dairy products,Milk chocolate,0.67272556,10.800274824937029,17.273873918891688
"The Madelaine Chocolate Comapny, Solid Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate. soy lecithinan emulsifier, vanillian-an artificial flavor).",United States,True,Processing of dairy products,Milk chocolate,0.7498587,10.800274824937029,17.273873918891688
"The Madelaine Chocolate Company, Solid Dark Chocolate","Semi-sweet chocolate: (sugar, chocolate processed with alkali, cocoa butter, milk fat, soy lecithin-an emulsifier, vanillian-an artificial flavor, natural flavors).",United States,True,Processing of Food products nec,Dark chocolate,0.6592794,20.62003664137931,48.78823265344828
Solid Dark Chocolate,"Semi-sweet chocolate: (sugar, chocolate processed with alkali, cocoa butter, milk fat, soy lecithin-an emulsifier, vanillian-an artificial flavor, natural flavors).",United States,True,Processing of Food products nec,Dark chocolate,0.8852606,20.62003664137931,48.78823265344828
Milk Chocolate Malt Balls,"Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin-an emulsifier, vanillian-an artificial flavor). malt center: (corn syrup, whey (dairy), malted milk (malted barley, wheat flour, milk, bicarbonate of soda, salt), sugar, malt extract, coco",United States,True,Processing of dairy products,Milk chocolate,0.68010813,10.800274824937029,17.273873918891688
"The Madelaine Chocolate Company, Solid Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin- an emulsifier, vanillian-an artificial flavors).",United States,True,Processing of dairy products,Milk chocolate,0.67272556,10.800274824937029,17.273873918891688
"The Madelaine Chocolate Company, Solid Dark Chocolate","Semi-sweet chocolate (sugar, chocolate processed with alkali, cocoa butter, milk fat, soy lecithin-an emulsifier, vanilla-an artificial flavor, natural flavors).",United States,True,Processing of Food products nec,Dark chocolate,0.6592794,20.62003664137931,48.78823265344828
"The Madelaine Chocolate Company, Solid Milk Chocolate Bunnies","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin (an emulsifier), vanillin-an-artificial flavor),",United States,True,Processing of dairy products,Milk chocolate,0.5789076,10.800274824937029,17.273873918891688
"The Madelaine Chocolate Company, Solid Milk Chocolate Chicks","Mix chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin (an emulsifier), vanillin-an artificial flavor).",United States,True,Processing of dairy products,Milk chocolate,0.67830306,10.800274824937029,17.273873918891688
Cornichons,"Gherkins (cucumbers), water, vinegar, salt, onions,mustgard seeds, tarragon, garlic pepper, natural flavor, contains sulfities.",United States,True,Cultivation of cereal grains nec,Lamb burgers,0.535233,26.92828869900683,38.0973729462661
"Too Tarts, Smartchoice, Sugar Free Spray Candy, Blu Bewwy","Water, xylitol, citric acid, lactic acid, apple juice concentrate*, ascorbic acid, malic acid, natural and artificial flavors, sucralose, blueberry juice concentrate, sodium benzoate and potassium sorbate (as a preservative).",United States,True,Manufacture of beverages,Sugar,0.46523368,1.851685668181818,2.153669372727273
Sour & Fruity Candy,"Water, glycerin, citric acid, xylitol, apple juice concentrate*, ascorbic acid, xanthan gum, sucralose, malic acid, natural and artificial flavors, sodium benzoate and potassium sorbate (as preservatives), yellow #5, blue #1.",United States,True,Processing of Food products nec,Fruit smoothies,0.56360924,1.6489147438016527,1.2942647049586775
Romaine Hearts,Romaine hearts.,United States,True,Cultivation of crops nec,Lamb casserole,0.38899967,30.87731,43.66
Quick Cook Sprout Halves,Brussels sprouts.,United States,True,Processing of Food products nec,Frozen potato wedges,0.3664612,0.66477544,1.68886116
Celery,Celery,United States,True,Cultivation of crops nec,Cauliflower,0.49441,0.8917262454545455,0.788343706060606
Season & Steam Kalettes (Kale Sprouts),Kalettes [kale sprouts].,United States,True,Cultivation of crops nec,Kale,0.5139132,0.9034191734693876,0.8103920489795918
"Feletti, Pralines Candy, Milk Chocolate","Sugar, vegetable oil (coconut (tree nut), palm kernel, palm), cocoa butter, whole milk powder, cocoa mass, whey powder, cereals (corn flour, rice flour, wheat flour, sugar, lowfat cocoa powder, barley's, malt extract, salt), hazelnuts (tree nut), lowfat c",United States,True,Processing of Food products nec,Milk chocolate,0.5607144,10.800274824937029,17.273873918891688
"Taami Elite, Milk Choolate Bar, Puffed Rice And Nougat-Caramel Cream","Sugar, puffed rice (12%), vegetable oil & fat (palm), milk powder, glucose syrup, cocoa mass, cocoa butter, water, soy flour, hazelnuts (3%), butter oil, glycerin (humectants), soya & rapeseed lecithin and pgpr (emulsifier), salt, vanillin, artificial fla",United States,True,Manufacture of beverages,Rice milk,0.5281041,1.4417970766666668,0.5183953633333334
"Ryan's, Spiced Apple Cider","Apple cider, natural flavor and spice.",United States,True,Manufacture of beverages,Cider,0.71668434,1.0816328666666666,0.9052926666666667
"Ryan's, Pink Lady, Apple Cider","Pink lady apple cider, apple cider.",United States,True,Manufacture of beverages,Cider,0.6210087,1.0816328666666666,0.9052926666666667
"Ryan's, Organic Juice, Apple",100% organic apple juice.,United States,True,Manufacture of beverages,Apple juice,0.7122203,0.4583783999999999,0.66062946
"Ryan's, Opal Blend Melange, Apple Cider","Opal apple cider, apple cider.",United States,True,Manufacture of beverages,Cider,0.6201041,1.0816328666666666,0.9052926666666667
"Fruit Strip Snacks, Mango, Pineapple","Concentrated apple puree, concentrated apple juice, ascorbic acid (vitamin c), natural pineapple flavor, natural mango flavor, concentrated black carrot juice (for color), pectin, coconut oil, shellac, beeswax.",United States,True,Processing of Food products nec,Pineapple,0.6114988,0.9320080325,1.01530539
Fruit Twist Snacks Blueberry Pomec-Ranate,"Concentrated apple puree, concentrated apple juice, ascorbic acid (vitamin c), natural blueberry flavor, natural pomegranate flavor, concentrated black carrot juice (for color), pectin, coconut oil, shellac, beeswax.",United States,True,Manufacture of beverages,Fruit smoothies,0.53977966,1.6489147438016527,1.2942647049586775
"Healthy Food Brands, A&W, Soda Bottles Gummy Candies With Real A&W Root Beer","Corn syrup, sugar, water, gelatin, natural & artificial flavor, root beer concentrate (caramel color, water, natural & artificial flavor), mineral oil*, carnauba wax.",United States,True,Manufacture of beverages,Beer,0.4644924,0.6862832217391304,0.827887302173913
"Emojeez, Gummies, Assorted Fruits","Corn syrup, sugar, water, gelatin, dextrose, citric acid, natural & artificial flavor, fd&c red 40, yellow 5, yellow 6, blue 1, mineral oil, carnauba wax.",United States,True,Manufacture of beverages,Bananas,0.5683043,0.8733495729166667,2.63982366875
"Emojeez, Fruit Flavored Gummies, Green Apple, Orange, Fruit Punch, Lemon, Cherry Blue Raspberry","Corn syrup, sugar, water, gelatin, dextrose, citric acid, natural & artificial flavor, fd&c red 40, yellow 5, yellow 6, blue 1, mineral oil, carnauba wax.",United States,True,Manufacture of beverages,Raspberries,0.5515468,8.3709720025,1.5448360025000003
"Lite, Fine Chocolate Candy Bar, Dark Chocolate","Maltitol, chocolate liquor, cocoa butter, inulin (natural vegetable fiber), soy lecithin, vanilla, cinnamon.",United States,True,Manufacture of beverages,Dark chocolate,0.6995624,20.62003664137931,48.78823265344828
Jelly Fish,"sugar, corn syrup, modified corn starch, citrict acid, sodium citrate, natural and artificial flavours, mineral oil, carnauba wax, red 40, yellow 6, yellow 5, blue 1.",Germany,True,Manufacture of fish products,Tuna,0.5392058,13.075354910344828,5.521839813793104
Color bombe,,United States,True,Cultivation of plant-based fibers,Blue cheese,0.42113638,20.10575330625,23.8921457
"Hfb Candy, Candy Crush Color Bombs","Sugar, assorted nonpareils (sugar, corn starch, confectioners glaze, fd&c red 40, yellow 5, yellow 6, blue 1, carnauba wax), hydrogenated palm kernel oil, whey protein concentrate [milk], cocoa powder, chocolate liquor, cocoa powder (processed with alkali",United States,True,Processing of Food products nec,Chocolate cereals,0.43212974,2.8776255585585586,7.379762667567568
"Hfb Candy, Jelly Fish Candy","Sugar, corn syrup, modified corn starch, citric acid, sodium citrate, natural and artificial flavors, mineral oil, carnauba wax, red 40, yellow 6, yellow 5, blue 1.",United States,True,Manufacture of fish products,Chocolate cereals,0.4545673,2.8776255585585586,7.379762667567568
"Angry Birds, Fruit Snack, Cherry, Lemon, Raspberry, Apple, Grape, Strawberry","Corn syrup, sugar, water, apple juice concentrate, modified food starch (corn), gelatin, dextrose, apple puree, citric acid, artificial flavor, ascorbic acid, mineral oil, carnuba wax, artificial colors (fd&c red 40, yellow 5, blue 1).",United States,True,Cultivation of crops nec,Raspberries,0.59969366,8.3709720025,1.5448360025000003
Freeze-Dried Banana & Strawberry Slices,"Bananas, strawberries.",United States,True,Processing of Food products nec,Bananas,0.5307612,0.8733495729166667,2.63982366875
"Wholesome & Delicious Dried Cranberries, Concord Grape","Cranberries, sugar, natural flavors, sunflower oil.",United States,True,Manufacture of beverages,Grapes,0.5128806,8.278876373015873,1.5365324888888887
Dried Mediterranean Apricots,"Dried apricots, natural flavors, sulfur dioxide (to preserve flavor), citric acid, ascorbic acid, malic acid.",United States,True,"Cultivation of vegetables, fruit, nuts",Apricot jam,0.5276942,1.3821050899999998,1.368510216666667
Dried Honey Crisp Apples,"Honey crisp apples, sulfur dioxide (to preserve freshness).",United States,True,Cultivation of crops nec,Apples,0.56694174,0.5073538973544973,0.6689985968253969
Wholesome & Delicious Dried Mangos,"Mango, sugar, mango juice, sulfur dioxide (to preserve flavor), citric acid.",United States,True,Cultivation of crops nec,Fruit smoothies,0.4692061,1.6489147438016527,1.2942647049586775
"Triple Fruit Treat, Mango, Cranberries, Blueberries","Cranberries, mangos, blueberries, sugar, sunflower oil, sulfur dioxide (to preserve flavor).",United States,True,Cultivation of crops nec,Fruit smoothies,0.5963177,1.6489147438016527,1.2942647049586775
Red Apple Chips,"Apples, sodium sulphite.",United States,True,Cultivation of crops nec,Apples,0.60519665,0.5073538973544973,0.6689985968253969
"Pb&J Trail Mix, Grape","Peanuts flavored dried cranberries (cranberries, sugar, sunflower oil, natural flavor), peanut flavored coating dried cane syrup, palm kernel oil, partially defatted peanut flour, whey powder [milk], salt, soy lecithin [an emulsifier], yogurt flavored coa",United States,True,Manufacture of beverages,Grapes,0.48354554,8.278876373015873,1.5365324888888887
"Pb & J Trail Mix, Strawberry","Peanuts, strawberry flavored dried cranberries (cranberries, sugar, natural flavors, citric acid, sunflower oil, elderberry juice concentrate [color]), peanut flavored coating (dried cane syrup, palm kernel oil, partially defatted peanut flour, whey powde",United States,True,Manufacture of beverages,Strawberry jam,0.56863844,2.5966625545454547,2.968536572727273
"Pb&J Trail Mix, Grape","Peanuts, flavored dried cranberries (cranberries, sugar, sunflower oil, natural flavor). peanut flavored coating (dried cane syrup, palm kernel oil, partially defatted peanut flour, whey powder [milk], salt, soy lecithin [an emulsifier], yogurt flavored c",United States,True,Manufacture of beverages,Grapes,0.48354554,8.278876373015873,1.5365324888888887
Red Apple Chips,"Apples, sodium sulphite (to preserve freshness).",United States,True,Cultivation of crops nec,Apples,0.60519665,0.5073538973544973,0.6689985968253969
Golden Apple Chips,"Apples, sodium sulphite (to preserve freshness).",United States,True,Processing of Food products nec,Apples,0.5832856,0.5073538973544973,0.6689985968253969
Green Apple Chips,"Apples, sodium sulphite (to preserve freshness).",United States,True,Cultivation of crops nec,Apples,0.5949057,0.5073538973544973,0.6689985968253969
Fruit Gummies Candy,"Sugar, corn syrup, white grape juice concentrate, gelatin, citric acid, natural and artificial flavor, fd&c red 40, yellow 5, yellow 6, blue 1, red 3, carnauba wax.",United States,True,Processing of Food products nec,Fruit smoothies,0.5901954,1.6489147438016527,1.2942647049586775
"Star Wars, Fruit Gummies","Sugar, corn syrup, white grape juice concentrate, gelatin, citric acid, natural and artificial flavor, fd&c red 40, yellow 5, yellow 6, blue 1, red 3, carnauba wax.",United States,True,Manufacture of beverages,Fruit smoothies,0.51222825,1.6489147438016527,1.2942647049586775
"Fruit Snacks, Cherry, Lemon, Raspberry, Apple, Grape, Strawberry","Grape juice, concentrate, corn syrup, sugar, modified food starch, apple puree, gelatin, citric acid, sodium citrate, ascorbic acid (vitamin c), natural and artificial flavors, fd&c red 40, yellow 5, blue 1, red 3, carnauba wax.",United States,True,Cultivation of crops nec,Strawberries,0.653764,3.241715,3.44723
"Angry Birds, Fruit Snacks, Cherry-Lemon-Raspberry-Apple-Grape-Strawberry","Grape juice concentrate, corn syrup, modified food starch, apple puree, gelatin, citric acid, sodium citrate, ascorbic acid (vitamin c), natural & artificial flavors, fd&c red 40, yellow 5, blue 1, red 3, carnauba wax.",United States,True,Manufacture of beverages,Strawberries,0.5950464,3.241715,3.44723
Tnt Exploding Candy,"Sucrose, lactose (milk), corn syrup solids, natural and artificial flavor, fd&c blue 1, processed with carbon dioxide for popping effect.",United States,True,Processing of Food products nec,Popcorn,0.4149889,1.813625906,3.1817772333333334
Exploding Candy,"Sucrose, lactose (milk), corn syrup solids, natural and artificial flavor, fd&c yellow 5, processed with carbon dioxide for popping effect.",United States,True,"""Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)""",Sugar,0.47814414,1.851685668181818,2.153669372727273
Exploding Candy,"Sucrose, lactose (milk), corn syrup solids, natural and artificial flavor, fd&c yellow 5, blue 1, processed with carbon dioxide for popping effect.",United States,True,"""Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)""",Sugar,0.47814414,1.851685668181818,2.153669372727273
"Bee, Creamed Honey With Raspberry, Raspberry","Pure raw honey, whole organic raspberries",United States,True,Cultivation of crops nec,Beetroot,0.57562834,2.6582406426355467,4.093929838632002
Creamed Honey,Pure raw honey,United States,True,Processing of Food products nec,Ice cream,0.49621463,3.661809453757829,5.287275175574113
"Bee, Creamed Honey With Cinnamon, Cinnamon","Pure raw honey, organic cinnamon",United States,True,Manufacture of beverages,Beetroot,0.52766806,2.6582406426355467,4.093929838632002
"Bee, Creamed Honey With Lemon","Pure raw honey, lemon juice",United States,True,Processing of Food products nec,Beetroot,0.5896416,2.6582406426355467,4.093929838632002
Creamed Honey With Hibiscus,"Pure raw honey, whole organic hibiscus flowers",United States,True,Cultivation of crops nec,Sunflower oil,0.38540098,3.6613972142857145,19.461267114285715
Minis Creamed Honey With Cinnamon,"Pure raw honey, cinnamon.",United States,True,Manufacture of beverages,Chocolate biscuits,0.3917153,5.083679001818182,13.565422218484848
Creamed Honey With Lemon,"Pure raw honey, lemon juice.",United States,True,Manufacture of beverages,Lemons,0.51577216,0.4701528599999999,0.6113751457142858
Creamed Honey With Raspberry,"Pure raw honey, real raspberries.",United States,True,Manufacture of beverages,Raspberries,0.48368478,8.3709720025,1.5448360025000003
"Minis, Creamed Honey With Hibiscus","Pure raw honey, real hibiscus flowers.",United States,True,Manufacture of beverages,Sunflower oil,0.39403218,3.6613972142857145,19.461267114285715
